,resultId,raceId,driverId,constructorId,number,grid,position,positionText,positionOrder,points,laps,time,milliseconds,fastestLap,rank,fastestLapTime,fastestLapSpeed,statusId
104,105,22,20,5,15,14,17,17,17,0.0,57,,,38,15,1:28.180,217.926,11
112,113,23,20,5,15,19,5,5,5,4.0,76,+24.657,7267399,74,7,1:18.787,152.614,1
135,136,24,20,5,15,19,8,8,8,1.0,70,+54.120,5838347,33,12,1:18.532,199.913,1
159,160,25,20,5,15,12,12,12,12,0.0,70,+58.065,5568310,36,11,1:17.760,204.212,1
195,196,27,20,5,15,9,8,8,8,1.0,67,+33.299,5514173,20,8,1:16.772,214.484,1
233,234,29,20,5,15,6,6,6,6,3.0,57,+52.625,5784964,36,6,1:39.485,196.093,1
252,253,30,20,5,15,10,5,5,5,4.0,44,+14.576,4993970,16,8,1:49.086,231.142,1
268,269,31,20,5,15,1,1,1,1,10.0,53,1:26:47.494,5207494,53,14,1:30.510,230.414,1
292,293,32,20,5,15,6,5,5,5,4.0,61,+10.268,7046572,13,9,1:47.271,170.047,1
313,314,33,20,5,15,9,6,6,6,3.0,67,+39.207,5461099,21,12,1:19.617,206.322,1
336,337,34,20,5,15,6,9,9,9,0.0,56,+1:04.339,5581742,55,9,1:37.212,201.863,1
351,352,35,20,5,15,7,4,4,4,5.0,71,+38.011,5689446,25,7,1:14.214,209.022,1
507,508,42,20,2,10,7,8,8,8,1.0,73,+67.7,5537665,53,6,1:13.862,204.316,1
603,604,46,20,5,19,20,16,16,16,0.0,69,,,65,16,1:21.915,192.536,11
628,629,47,20,5,19,18,19,19,19,0.0,57,,,39,19,1:29.983,213.560,11
649,650,48,20,5,19,16,18,18,18,0.0,52,,,47,18,1:25.313,244.450,11
701,702,51,20,5,19,17,4,4,4,5.0,56,+53.509,5931904,52,13,1:39.890,196.452,1
7565,7566,1,20,9,15,3,13,13,13,0.0,56,,,8,4,1:28.140,216.596,4
7587,7588,2,20,9,15,13,15,15,15,0.0,30,,,10,6,1:38.427,202.737,20
7593,7594,3,20,9,15,1,1,1,1,10.0,56,1:57:43.485,7063485,42,2,1:52.627,174.235,1
7614,7615,4,20,9,15,3,2,2,2,8.0,57,+7.187,5515369,16,4,1:34.756,205.614,1
7636,7637,5,20,9,15,2,4,4,4,5.0,66,+18.941,5858143,41,4,1:23.090,201.684,1
7675,7676,7,20,9,15,1,3,3,3,6.0,58,+7.461,5192309,51,2,1:27.622,219.314,1
7693,7694,8,20,9,15,1,1,1,1,10.0,60,1:22:49.328,4969328,16,1,1:20.735,229.238,1
7714,7715,9,20,9,15,4,2,2,2,8.0,60,+9.252,5812562,42,4,1:34.089,196.970,1
7775,7776,12,20,9,15,8,3,3,3,6.0,44,+3.875,5034870,38,1,1:47.263,235.070,1
7800,7801,13,20,9,15,9,8,8,8,1.0,53,+1:25.407,4667113,50,7,1:25.194,244.791,1
7816,7817,14,20,9,15,2,4,4,4,5.0,61,+20.621,6986958,10,7,1:48.398,168.479,1
7833,7834,15,20,9,15,1,1,1,1,10.0,53,1:28:20.443,5300443,43,2,1:32.572,225.826,1
7856,7857,16,20,9,15,15,4,4,4,5.0,71,+19.652,5562733,59,2,1:13.890,209.939,1
16066,16067,17,20,9,15,2,1,1,1,10.0,55,1:34:03.414,5643414,54,1,1:40.279,199.387,1
20323,20326,337,20,9,5,1,4,4,4,12.0,49,+38.799,5999195,32,12,2:00.218,188.627,1
20368,20371,339,20,9,5,3,1,1,1,25.0,56,1:33:48.412,5628412,53,6,1:37.813,204.009,1
20397,20400,340,20,9,5,1,6,6,6,8.0,56,+33.310,6435473,14,2,1:42.358,191.715,1
20418,20421,341,20,9,5,2,3,3,3,15.0,66,+51.338,5795439,56,5,1:25.176,196.745,1
20441,20444,342,20,9,5,3,2,2,2,18.0,78,+0.448,6613803,71,1,1:15.192,159.910,1
20491,20494,344,20,9,5,2,4,4,4,12.0,70,+37.817,5671273,62,8,1:18.417,200.206,1
20512,20515,345,20,9,5,1,1,1,1,25.0,57,1:40:29.571,6029571,52,3,1:39.141,196.774,1
20542,20545,346,20,9,5,1,7,7,7,6.0,52,+36.734,5114934,52,3,1:31.967,230.600,1
20562,20565,347,20,9,5,1,3,3,3,15.0,67,+5.121,5263985,67,1,1:15.824,217.166,1
20586,20589,348,20,9,5,1,3,3,3,15.0,70,+19.252,6084823,70,1,1:22.362,191.491,1
20622,20625,349,20,9,5,4,15,15,15,0.0,43,,,22,6,1:50.868,227.427,11
20635,20638,350,20,9,5,6,4,4,4,12.0,53,+28.196,4612768,50,4,1:24.493,246.822,1
20657,20660,351,20,9,5,2,2,2,2,18.0,61,+0.293,7073872,59,2,1:48.141,168.879,1
20680,20683,352,20,9,5,1,1,1,1,25.0,53,1:30:27.323,5427323,51,3,1:33.653,223.219,1
20728,20731,354,20,9,5,2,1,1,1,25.0,71,1:33:11.803,5591803,70,6,1:14.283,208.828,1
20752,20755,355,20,9,5,1,1,1,1,25.0,55,1:39:36.837,5976837,50,4,1:41.739,196.526,1
20776,20779,841,20,9,1,1,1,1,1,25.0,58,1:29:30.259,5370259,44,4,1:29.844,212.488,1
20798,20801,842,20,9,1,1,1,1,1,25.0,56,1:37:39.832,5859832,33,6,1:41.539,196.523,1
20823,20826,843,20,9,1,1,2,2,2,18.0,56,+5.198,5823424,47,8,1:41.321,193.677,1
20846,20849,844,20,9,1,1,1,1,1,25.0,58,1:30:17.558,5417558,50,3,1:29.937,213.669,1
20870,20873,845,20,9,1,2,1,1,1,25.0,66,1:39:03.301,5943301,60,4,1:27.162,192.262,1
20894,20897,846,20,9,1,1,1,1,1,25.0,78,2:09:38.373,7778373,78,2,1:16.267,157.656,1
20918,20921,847,20,9,1,1,2,2,2,18.0,70,+2.709,14682246,69,2,1:17.217,203.317,1
20941,20944,848,20,9,1,1,1,1,1,25.0,57,1:39:36.169,5976169,53,1,1:41.852,191.536,1
20966,20969,849,20,9,1,2,2,2,2,18.0,52,+16.511,5337707,38,3,1:35.565,221.918,1
20992,20995,850,20,9,1,3,4,4,4,12.0,60,+47.921,5898255,47,3,1:34.587,195.933,1
21014,21017,851,20,9,1,1,2,2,2,18.0,70,+3.588,6405925,70,5,1:23.875,188.036,1
21037,21040,852,20,9,1,1,1,1,1,25.0,44,1:26:44.893,5204893,36,4,1:50.451,228.285,1
21061,21064,853,20,9,1,1,1,1,1,25.0,53,1:20:46.172,4846172,49,3,1:26.557,240.937,1
21085,21088,854,20,9,1,1,1,1,1,25.0,61,1:59:04.757,7146757,51,2,1:48.688,168.029,1
21111,21114,855,20,9,1,1,3,3,3,15.0,53,+2.006,5455433,52,6,1:36.916,215.704,1
21133,21136,856,20,9,1,2,1,1,1,25.0,55,1:38:01.994,5881994,55,1,1:39.605,202.941,1
21157,21160,857,20,9,1,1,1,1,1,25.0,60,1:30:35.002,5435002,60,1,1:27.249,211.463,1
21206,21209,859,20,9,1,1,2,2,2,18.0,71,+16.983,5554447,68,3,1:16.076,203.906,1
21230,21233,860,20,9,1,6,2,2,2,18.0,58,+2.139,5651704,57,2,1:29.417,213.503,1
21263,21266,861,20,9,1,5,11,11,11,0.0,56,+1:15.527,9967339,50,4,1:41.342,196.905,1
21281,21284,862,20,9,1,11,5,5,5,10.0,56,+30.483,5817412,33,7,1:40.601,195.063,1
21301,21304,863,20,9,1,1,1,1,1,25.0,57,1:35:10.990,5710990,41,1,1:36.379,202.151,1
21330,21333,864,20,9,1,7,6,6,6,8.0,66,+1:07.576,6016721,65,4,1:27.768,190.935,1
21352,21355,865,20,9,1,9,4,4,4,12.0,78,+1.343,6367900,43,9,1:19.076,152.056,1
21376,21379,866,20,9,1,1,4,4,4,12.0,70,+7.295,5556881,70,1,1:15.752,207.249,1
21423,21426,868,20,9,1,4,3,3,3,15.0,52,+4.836,5116124,52,3,1:34.897,223.480,1
21449,21452,869,20,9,1,2,5,5,5,10.0,67,+23.732,5489594,61,4,1:19.161,208.011,1
21472,21475,870,20,9,1,3,4,4,4,12.0,69,+11.614,6077117,68,1,1:24.136,187.453,1
21494,21497,871,20,9,1,10,2,2,2,18.0,44,+13.624,5362154,39,9,1:54.198,220.795,1
21538,21541,872,20,9,1,5,22,22,22,0.0,47,,,46,9,1:28.713,235.081,91
21541,21544,873,20,9,1,3,1,1,1,25.0,59,2:00:26.144,7226144,50,3,1:52.134,162.865,1
21565,21568,874,20,9,1,1,1,1,1,25.0,53,1:28:56.242,5336242,52,1,1:35.774,218.276,1
21589,21592,875,20,9,1,2,1,1,1,25.0,55,1:36:28.651,5788651,55,5,1:42.499,197.211,1
21613,21616,876,20,9,1,1,1,1,1,25.0,60,1:31:10.744,5470744,60,4,1:28.723,207.950,1
21639,21642,877,20,9,1,24,3,3,3,15.0,55,+4.163,6362830,54,1,1:43.964,192.320,1
21662,21665,878,20,9,1,1,2,2,2,18.0,56,+0.675,5755944,56,1,1:39.347,199.772,1
21690,21693,879,20,9,1,4,6,6,6,8.0,71,+9.453,6332109,36,9,1:19.090,196.136,1
21711,21714,880,20,9,1,1,3,3,3,15.0,58,+22.346,5425571,42,10,1:30.409,211.160,1
21731,21734,881,20,9,1,1,1,1,1,25.0,56,1:38:56.681,5936681,45,3,1:40.446,198.661,1
21756,21759,882,20,9,1,9,4,4,4,12.0,56,+12.525,5799470,53,1,1:36.808,202.706,1
21775,21778,883,20,9,1,2,1,1,1,25.0,57,1:36:00.498,5760498,55,1,1:36.961,200.938,1
21800,21803,884,20,9,1,3,4,4,4,12.0,66,+38.273,5994869,55,9,1:27.036,192.541,1
21820,21823,885,20,9,1,3,2,2,2,18.0,78,+3.888,8275944,77,1,1:16.577,157.018,1
21841,21844,886,20,9,1,1,1,1,1,25.0,70,1:32:09.143,5529143,55,5,1:16.561,205.060,1
21885,21888,888,20,9,1,2,1,1,1,25.0,60,1:41:14.711,6074711,59,5,1:34.164,196.814,1
